object_id,score_name,score_value
1134,Ground subsidence (InSAR),0.1001
1136,Ground subsidence (InSAR),0.5937
1137,Ground subsidence (InSAR),0.2018
1138,Ground subsidence (InSAR),0.1001
1140,Ground subsidence (InSAR),1.0
1143,Ground subsidence (InSAR),0.2402
1144,Ground subsidence (InSAR),0.2402
1146,Ground subsidence (InSAR),0.244
1147,Ground subsidence (InSAR),0.2402
1148,Ground subsidence (InSAR),0.2402
1150,Ground subsidence (InSAR),0.244
1155,Ground subsidence (InSAR),0.1597
1156,Ground subsidence (InSAR),1.0
1157,Ground subsidence (InSAR),0.3359
1158,Ground subsidence (InSAR),0.3359
1161,Ground subsidence (InSAR),0.2018
1163,Ground subsidence (InSAR),0.2018
1164,Ground subsidence (InSAR),0.9916
1165,Ground subsidence (InSAR),0.9916
1166,Ground subsidence (InSAR),0.2522
1167,Ground subsidence (InSAR),0.9916
1168,Ground subsidence (InSAR),0.9916
1169,Ground subsidence (InSAR),0.3013
1170,Ground subsidence (InSAR),0.9916
1172,Ground subsidence (InSAR),0.9916
1173,Ground subsidence (InSAR),0.0616
1174,Ground subsidence (InSAR),1.0
1178,Ground subsidence (InSAR),1.0
1182,Ground subsidence (InSAR),1.0
1188,Ground subsidence (InSAR),0.2839
1189,Ground subsidence (InSAR),0.2836
1190,Ground subsidence (InSAR),0.8009
1191,Ground subsidence (InSAR),0.4471
1192,Ground subsidence (InSAR),0.1486
1193,Ground subsidence (InSAR),0.8009
1194,Ground subsidence (InSAR),0.8009
1195,Ground subsidence (InSAR),0.7735
1196,Ground subsidence (InSAR),1.0
1197,Ground subsidence (InSAR),0.7735
1200,Ground subsidence (InSAR),0.174
1201,Ground subsidence (InSAR),0.174
1202,Ground subsidence (InSAR),0.1507
1203,Ground subsidence (InSAR),0.1507
1204,Ground subsidence (InSAR),0.2552
1205,Ground subsidence (InSAR),0.2552
1206,Ground subsidence (InSAR),0.0962
1207,Ground subsidence (InSAR),0.0962
1208,Ground subsidence (InSAR),0.0962
1209,Ground subsidence (InSAR),0.2429
1210,Ground subsidence (InSAR),0.199
1212,Ground subsidence (InSAR),0.2552
1213,Ground subsidence (InSAR),0.3013
1214,Ground subsidence (InSAR),0.1603
1215,Ground subsidence (InSAR),0.3013
1216,Ground subsidence (InSAR),0.2552
1217,Ground subsidence (InSAR),0.0868
1218,Ground subsidence (InSAR),0.1603
1219,Ground subsidence (InSAR),0.1149
1220,Ground subsidence (InSAR),0.3013
1221,Ground subsidence (InSAR),0.1603
1222,Ground subsidence (InSAR),0.1467
1223,Ground subsidence (InSAR),0.1467
1224,Ground subsidence (InSAR),0.3813
1225,Ground subsidence (InSAR),0.1695
1226,Ground subsidence (InSAR),0.1695
1227,Ground subsidence (InSAR),0.1695
1228,Ground subsidence (InSAR),0.1526
1229,Ground subsidence (InSAR),0.1467
1230,Ground subsidence (InSAR),0.1467
1231,Ground subsidence (InSAR),0.0616
1232,Ground subsidence (InSAR),0.0616
1233,Ground subsidence (InSAR),0.2969
1236,Ground subsidence (InSAR),0.1643
1237,Ground subsidence (InSAR),0.2429
1239,Ground subsidence (InSAR),0.2429
1241,Ground subsidence (InSAR),0.2429
1246,Ground subsidence (InSAR),0.0601
1247,Ground subsidence (InSAR),0.0601
1248,Ground subsidence (InSAR),1.0
1250,Ground subsidence (InSAR),0.8728
1251,Ground subsidence (InSAR),0.8728
1261,Ground subsidence (InSAR),0.4577
1263,Ground subsidence (InSAR),0.9428
1265,Ground subsidence (InSAR),0.9428
1266,Ground subsidence (InSAR),0.4577
1267,Ground subsidence (InSAR),0.1824
1269,Ground subsidence (InSAR),0.0625
1270,Ground subsidence (InSAR),0.3475
1271,Ground subsidence (InSAR),0.3475
1272,Ground subsidence (InSAR),0.3475
1274,Ground subsidence (InSAR),0.1699
1275,Ground subsidence (InSAR),1.0
1276,Ground subsidence (InSAR),0.1699
1277,Ground subsidence (InSAR),0.3359
1278,Ground subsidence (InSAR),0.3359
1279,Ground subsidence (InSAR),1.0
1281,Ground subsidence (InSAR),0.1887
1283,Ground subsidence (InSAR),0.8728
1286,Ground subsidence (InSAR),0.6347
1289,Ground subsidence (InSAR),0.8728
1292,Ground subsidence (InSAR),0.1887
1293,Ground subsidence (InSAR),0.1887
1294,Ground subsidence (InSAR),0.1887
1295,Ground subsidence (InSAR),0.0601
1296,Ground subsidence (InSAR),0.0601
1297,Ground subsidence (InSAR),0.0601
1298,Ground subsidence (InSAR),0.1339
1299,Ground subsidence (InSAR),0.1887
1300,Ground subsidence (InSAR),0.1887
1302,Ground subsidence (InSAR),0.9916
1303,Ground subsidence (InSAR),0.9916
1304,Ground subsidence (InSAR),0.9916
1305,Ground subsidence (InSAR),0.9916
1306,Ground subsidence (InSAR),0.9916
1307,Ground subsidence (InSAR),0.2457
1308,Ground subsidence (InSAR),0.2457
1309,Ground subsidence (InSAR),0.2457
1310,Ground subsidence (InSAR),0.2457
1311,Ground subsidence (InSAR),0.1928
1312,Ground subsidence (InSAR),0.1928
1335,Ground subsidence (InSAR),0.1643
1345,Ground subsidence (InSAR),0.3259
1347,Ground subsidence (InSAR),0.1149
1350,Ground subsidence (InSAR),0.05
1351,Ground subsidence (InSAR),0.05
1352,Ground subsidence (InSAR),1.0
1353,Ground subsidence (InSAR),1.0
1354,Ground subsidence (InSAR),0.05
1355,Ground subsidence (InSAR),1.0
1356,Ground subsidence (InSAR),0.05
1357,Ground subsidence (InSAR),0.8009
1358,Ground subsidence (InSAR),0.1695
1359,Ground subsidence (InSAR),0.0616
1360,Ground subsidence (InSAR),0.0616
1361,Ground subsidence (InSAR),0.0616
1362,Ground subsidence (InSAR),0.0616
1373,Ground subsidence (InSAR),0.3307
1375,Ground subsidence (InSAR),0.3307
1376,Ground subsidence (InSAR),0.1903
1377,Ground subsidence (InSAR),0.2839
1378,Ground subsidence (InSAR),0.2839
1379,Ground subsidence (InSAR),0.1339
1380,Ground subsidence (InSAR),0.6347
1381,Ground subsidence (InSAR),0.1903
1382,Ground subsidence (InSAR),0.2132
1383,Ground subsidence (InSAR),0.2132
1384,Ground subsidence (InSAR),0.05
1423,Ground subsidence (InSAR),0.294
1424,Ground subsidence (InSAR),0.294
1448,Ground subsidence (InSAR),0.2519
1450,Ground subsidence (InSAR),0.2519
1451,Ground subsidence (InSAR),0.2519
1452,Ground subsidence (InSAR),0.2519
1453,Ground subsidence (InSAR),1.0
1454,Ground subsidence (InSAR),0.1288
1456,Ground subsidence (InSAR),1.0
1457,Ground subsidence (InSAR),0.1288
1458,Ground subsidence (InSAR),0.1288
1459,Ground subsidence (InSAR),0.0758
1461,Ground subsidence (InSAR),0.0758
1462,Ground subsidence (InSAR),0.0758
1475,Ground subsidence (InSAR),1.0
1477,Ground subsidence (InSAR),0.8636
1479,Ground subsidence (InSAR),0.8636
1480,Ground subsidence (InSAR),0.8636
1481,Ground subsidence (InSAR),0.8636
1487,Ground subsidence (InSAR),1.0
1489,Ground subsidence (InSAR),0.1699
1490,Ground subsidence (InSAR),0.1699
1491,Ground subsidence (InSAR),0.1699
1492,Ground subsidence (InSAR),0.1699
1494,Ground subsidence (InSAR),0.1699
1496,Ground subsidence (InSAR),0.3359
1497,Ground subsidence (InSAR),1.0
1498,Ground subsidence (InSAR),0.2522
1499,Ground subsidence (InSAR),0.2522
1500,Ground subsidence (InSAR),1.0
1505,Ground subsidence (InSAR),0.1999
1508,Ground subsidence (InSAR),0.2519
1510,Ground subsidence (InSAR),0.2519
1516,Ground subsidence (InSAR),0.1288
1519,Ground subsidence (InSAR),0.1288
1522,Ground subsidence (InSAR),0.228
1524,Ground subsidence (InSAR),0.228
1527,Ground subsidence (InSAR),0.228
1528,Ground subsidence (InSAR),0.228
1529,Ground subsidence (InSAR),0.228
1544,Ground subsidence (InSAR),0.1507
1554,Ground subsidence (InSAR),0.1467
1556,Ground subsidence (InSAR),0.1467
1557,Ground subsidence (InSAR),0.1699
1558,Ground subsidence (InSAR),0.1699
1560,Ground subsidence (InSAR),0.1699
1562,Ground subsidence (InSAR),0.1699
1563,Ground subsidence (InSAR),0.1699
1564,Ground subsidence (InSAR),0.1699
