OBJECTID,top_height_m,base_height_m,storeys,building_height_m
29935,40.2,29.8,2.0,10.400000000000002
29938,41.0,29.8,2.0,11.2
29941,41.0,30.8,2.0,10.2
29943,41.3,30.7,2.0,10.599999999999998
29946,41.4,31.5,2.0,9.899999999999999
29950,42.2,31.4,2.0,10.800000000000004
29952,43.2,35.2,2.0,8.0
29954,43.1,34.9,2.0,8.200000000000003
29956,43.0,34.5,2.0,8.5
29962,43.5,34.5,2.0,9.0
29966,43.1,33.8,2.0,9.300000000000004
30000,44.4,34.8,2.0,9.600000000000001
30002,44.7,34.5,2.0,10.200000000000003
30004,45.3,34.0,2.0,11.299999999999997
30005,45.2,33.4,2.0,11.800000000000004
30009,51.0,41.4,2.0,9.600000000000001
30011,42.5,31.5,2.0,11.0
30014,42.3,31.6,2.0,10.699999999999996
30016,42.0,31.2,2.0,10.8
30019,41.9,30.8,2.0,11.099999999999998
30021,41.8,31.3,2.0,10.499999999999996
30025,41.6,32.4,2.0,9.200000000000003
30031,54.8,44.1,2.0,10.699999999999996
30033,54.8,43.6,2.0,11.199999999999996
30040,54.6,44.6,2.0,10.0
30042,54.5,43.8,2.0,10.700000000000003
30045,54.5,43.3,2.0,11.200000000000003
30049,62.2,51.3,2.0,10.900000000000006
30052,62.1,51.1,2.0,11.0
30056,62.1,51.3,2.0,10.800000000000004
30058,62.1,51.0,2.0,11.100000000000001
30061,56.0,46.8,2.0,9.200000000000003
30063,56.2,46.6,2.0,9.600000000000001
30064,56.1,46.5,2.0,9.600000000000001
30066,54.6,45.6,2.0,9.0
30069,55.0,45.4,2.0,9.600000000000001
30070,54.8,45.2,2.0,9.599999999999994
30072,55.2,45.3,2.0,9.900000000000006
30075,55.8,45.5,2.0,10.299999999999997
30077,56.8,45.8,2.0,11.0
30079,57.3,46.1,2.0,11.199999999999996
30082,57.7,46.6,2.0,11.100000000000001
30086,51.8,41.1,2.0,10.699999999999996
30089,51.4,41.9,2.0,9.5
30091,51.5,41.5,2.0,10.0
30093,51.7,42.2,2.0,9.5
30096,52.4,43.3,2.0,9.100000000000001
30098,52.7,44.0,2.0,8.700000000000003
