building_id,ds1_objectid,address,district,region,building_type,usage,completion_date,age_years,latitude,longitude,notice_count,last_update,bad_event,score
1565630,24838,13 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481112809908325,114.0438614999083,0,,0,0.0
1565634,24839,15 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.48116680970054,114.04389499965453,0,,0,0.0
1565656,24841,17 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481220310369054,114.0439286001249,0,,0,0.0
1565663,24842,68-70 PO HEUNG ST LUEN FUNG BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1980-10-03,45.7,22.447730689619675,114.16647259993056,0,,0,0.0
1565679,24843,19 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481274620427428,114.04396209987112,0,,0,0.0
1565732,24844,25 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481456869838723,114.04405940022116,0,,0,0.0
1565734,24845,1 YU KING SQUARE PO FAT BUILDING,Yuen Long,New Territories,Tower,Residential/Composite,1984-06-14,42.0,22.4433169699023,114.02851240002737,0,,0,0.0
1565735,24846,27 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481517010201912,114.04407149970008,0,,0,0.0
1565799,24847,74 PO HEUNG ST YAM FAT BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1970-01-26,56.4,22.44792357980941,114.16651770003192,0,,0,0.0
1565837,24848,29 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.48157730974509,114.04408350025336,0,,0,0.0
1565875,24850,31 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481638819775757,114.04409569955692,0,,0,0.0
1565919,24851,37 FAIRVIEW PARK SECT M 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1985-12-18,40.5,22.481830340298018,114.04413340003646,0,,0,0.0
1565921,24852,11 YU KING SQUARE HING FAT BUILDING,Yuen Long,New Territories,Tower,Residential/Composite,1985-08-28,40.8,22.443336340399867,114.02824319966396,0,,0,0.0
