X,Y,OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,NSEARCH01_EN,NSEARCH01_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE
12708451.1574922,2551102.78272504,36,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1861085,88/90 PEI HO ST,1861085,88/90 PEI HO ST,TOW,TOW,33,33,821135.7,834731.4,22.32925771,114.16195888,2025/07/30 11:44:47+00
12708889.3500841,2550633.01599655,37,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1114182,88/90 TAI NAN ST,1114182,88/90 TAI NAN ST,TOW,TOW,15,15,820703.4,835136.9,22.32535483,114.16589553,2025/07/30 11:44:47+00
12705152.2390996,2544945.9240178,38,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,395998,88A/88B POK FU LAM RD,395998,88A/88B POK FU LAM RD,TOW,TOW,7,7,815470,831676.7,22.27808824,114.13232401,2025/07/30 11:44:47+00
12709143.881762,2549374.63328623,39,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,36923,896 CANTON RD,36923,896 CANTON RD,TOW,TOW,1,1,819545.4,835372.4,22.31489727,114.16818203,2025/07/30 11:44:47+00
12709685.8716655,2547494.72754869,40,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,29440,9 CAMERON LANE,29440,9 CAMERON LANE,TOW,TOW,1,1,817815.3,835874,22.29927311,114.17305053,2025/07/30 11:44:47+00
12709247.7542531,2550648.36133426,41,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,66108,9 PLAYING FIELD RD,66108,9 PLAYING FIELD RD,TOW,TOW,1,1,820717.5,835468.6,22.32548245,114.16911518,2025/07/30 11:44:47+00
12707321.4365779,2545305.47792955,42,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,409419,9 PRINCE'S TERRACE,409419,9 PRINCE'S TERRACE,TOW,TOW,2,2,815800.5,833685,22.28107717,114.15181067,2025/07/30 11:44:47+00
12711265.8276461,2549135.77446078,43,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,263977,9 SHEK TONG ST,263977,9 SHEK TONG ST,TOW,TOW,2,2,819325.6,837336.4,22.31291235,114.18724378,2025/07/30 11:44:47+00
12708945.4299534,2550612.1545841,44,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,176901,9/11 CEDAR ST,176901,9/11 CEDAR ST,TOW,TOW,1,1,820684.2,835188.8,22.32518143,114.16639928,2025/07/30 11:44:47+00
12710802.198441,2548559.2358561,45,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1402314,9/11 COOKE ST,1402314,9/11 COOKE ST,TOW,TOW,8,8,818795,836907.3,22.30812104,114.1830784,2025/07/30 11:44:47+00
12711866.1004921,2550125.68465872,46,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,249453,9/11 SHIM LUEN ST,249453,9/11 SHIM LUEN ST,TOW,TOW,1,1,820236.6,837891.9,22.32113858,114.19263655,2025/07/30 11:44:47+00
12711892.4628406,2550113.51073039,47,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,245317,9/11 YIN ON ST,245317,9/11 YIN ON ST,TOW,TOW,1,1,820225.4,837916.3,22.32103711,114.19287297,2025/07/30 11:44:47+00
12709510.3313899,2547214.39689052,48,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,55331,9/11A LOCK RD,55331,9/11A LOCK RD,TOW,TOW,13,13,817557.3,835711.5,22.29694343,114.17147415,2025/07/30 11:44:47+00
12709181.1218645,2548035.26998423,49,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1187691,9/13 KWUN CHUNG ST,1187691,9/13 KWUN CHUNG ST,TOW,TOW,1,1,818312.8,835406.8,22.30376635,114.16851658,2025/07/30 11:44:47+00
12703510.649853,2555970.55079649,50,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1426488,9/14 SZE PEI SQUARE TSUEN WAN,1426488,9/14 SZE PEI SQUARE TSUEN WAN,TOW,TOW,1,1,825615.3,830160.9,22.36970136,114.11757785,2025/07/30 11:44:47+00
12709448.3371104,2549618.49644494,51,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,173419,9/15 TUNG CHOI ST,173419,9/15 TUNG CHOI ST,TOW,TOW,41,41,819769.8,835654.2,22.31692396,114.17091726,2025/07/30 11:44:47+00
12711482.5981985,2549621.8214218,52,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,246312,9/9A LOK SHAN RD,246312,9/9A LOK SHAN RD,TOW,TOW,2,2,819772.9,837537,22.31695149,114.18919102,2025/07/30 11:44:47+00
12708539.7196616,2550391.62345094,53,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1573459,90/92 LARCH ST,1573459,90/92 LARCH ST,TOW,TOW,2,2,820481.3,834813.3,22.32334842,114.16275453,2025/07/30 11:44:47+00
12708714.2637145,2551164.86145813,54,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,4151,91/93 FUK WA ST,4151,91/93 FUK WA ST,TOW,TOW,2,2,821192.8,834974.9,22.32977408,114.16432298,2025/07/30 11:44:47+00
12711416.209353,2550376.32279899,55,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1645654,91/93 TAM KUNG RD,1645654,91/93 TAM KUNG RD,TOW,TOW,2,2,820467.2,837475.5,22.3232212,114.18859423,2025/07/30 11:44:47+00
12708881.5699596,2550639.31852429,56,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,5042758,92/94 TAI NAN ST,5042758,92/94 TAI NAN ST,TOW,TOW,1,1,820709.2,835129.7,22.32540678,114.16582532,2025/07/30 11:44:47+00
12708661.31241,2551219.52179999,57,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,4199,93B FUK WA ST,4199,93B FUK WA ST,TOW,TOW,14,14,821243.1,834925.9,22.3302281,114.16384673,2025/07/30 11:44:47+00
12706148.4704102,2545814.01108001,58,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,415987,95 HIGH ST,415987,95 HIGH ST,TOW,TOW,4,4,816268.8,832599.2,22.28530366,114.14127391,2025/07/30 11:44:47+00
12711331.9500285,2549150.5481247,59,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,207942,95/101 MA TAU WAI RD,207942,95/101 MA TAU WAI RD,TOW,TOW,3,3,819339.2,837397.6,22.31303513,114.18783736,2025/07/30 11:44:47+00
12711972.1881957,2549988.74843644,60,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,5303075,95/97 MA TAU KOK RD,5303075,95/97 MA TAU KOK RD,TOW,TOW,3,3,820110.6,837990.1,22.32000105,114.19358943,2025/07/30 11:44:47+00
12708980.5136636,2552723.49595729,61,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1372836,BEACON HEIGHTS BLK 8 8/14 LUNG PING RD,1372836,BEACON HEIGHTS BLK 8 8/14 LUNG PING RD,TOW,TOW,32,32,822626.9,835221.4,22.34272464,114.16671417,2025/07/30 11:44:47+00
12713175.805432,2546286.04269406,62,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1989749,BEDFORD GARDENS HONG FOOK COURT 153 TIN HAU TEMPLE RD,1989749,BEDFORD GARDENS HONG FOOK COURT 153 TIN HAU TEMPLE RD,TOW,TOW,1,1,816703.1,839104.7,22.28922733,114.20440094,2025/07/30 11:44:47+00
12713187.2748058,2546389.90688731,63,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990825,BEDFORD GARDENS HUNG FOOK COURT 169 TIN HAU TEMPLE RD,1990825,BEDFORD GARDENS HUNG FOOK COURT 169 TIN HAU TEMPLE RD,TOW,TOW,1,1,816798.7,839115.3,22.2900903,114.20450421,2025/07/30 11:44:47+00
12713144.2614667,2546279.3123781,64,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1989620,BEDFORD GARDENS KA FOOK COURT 151 TIN HAU TEMPLE RD,1989620,BEDFORD GARDENS KA FOOK COURT 151 TIN HAU TEMPLE RD,TOW,TOW,1,1,816696.9,839075.5,22.28917178,114.20411799,2025/07/30 11:44:47+00
12713180.2593018,2546423.15422057,65,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1991094,BEDFORD GARDENS KING FOOK COURT 173 TIN HAU TEMPLE RD,1991094,BEDFORD GARDENS KING FOOK COURT 173 TIN HAU TEMPLE RD,TOW,TOW,1,1,816829.3,839108.8,22.29036687,114.20444148,2025/07/30 11:44:47+00
12713203.5689295,2546294.51199755,66,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1989873,BEDFORD GARDENS ON FOOK COURT 155 TIN HAU TEMPLE RD,1989873,BEDFORD GARDENS ON FOOK COURT 155 TIN HAU TEMPLE RD,TOW,TOW,1,1,816710.9,839130.4,22.28929812,114.20465113,2025/07/30 11:44:47+00
12713162.3142801,2546351.01585439,67,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990434,BEDFORD GARDENS PAK CHEUNG COURT 163 TIN HAU TEMPLE RD,1990434,BEDFORD GARDENS PAK CHEUNG COURT 163 TIN HAU TEMPLE RD,TOW,TOW,1,1,816762.9,839092.2,22.28976777,114.20427974,2025/07/30 11:44:47+00
12713168.8977946,2546318.31198115,68,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990100,BEDFORD GARDENS PAK HEE COURT 159 TIN HAU TEMPLE RD,1990100,BEDFORD GARDENS PAK HEE COURT 159 TIN HAU TEMPLE RD,TOW,TOW,1,1,816732.8,839098.3,22.289496,114.20433973,2025/07/30 11:44:47+00
12713194.0744534,2546357.85477132,69,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990581,BEDFORD GARDENS PAK KAI COURT 165 TIN HAU TEMPLE RD,1990581,BEDFORD GARDENS PAK KAI COURT 165 TIN HAU TEMPLE RD,TOW,TOW,1,1,816769.2,839121.6,22.28982445,114.20456571,2025/07/30 11:44:47+00
12713148.2829831,2546416.42393798,70,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990989,BEDFORD GARDENS PAK LEE COURT 171 TIN HAU TEMPLE RD,1990989,BEDFORD GARDENS PAK LEE COURT 171 TIN HAU TEMPLE RD,TOW,TOW,1,1,816823.1,839079.2,22.29031105,114.2041546,2025/07/30 11:44:47+00
12713200.873936,2546325.0421859,71,Statutory Notices issued on prescribed inspection/repair for buildings,就樓宇訂明檢驗／訂明修葺所發出的法定通知,1990279,BEDFORD GARDENS PAK SING COURT 161 TIN HAU TEMPLE RD,1990279,BEDFORD GARDENS PAK SING COURT 161 TIN HAU TEMPLE RD,TOW,TOW,1,1,816739,839127.9,22.28955155,114.20462662,2025/07/30 11:44:47+00
